state,county,year,MedianAge,PerCapitaIncome,Population,PovertyCount
Kentucky,Nelson County,2018,39.5,31387,45388,4899
Kentucky,Wayne County,2018,42.6,19130,20609,4965
Kentucky,Marion County,2018,39.7,21659,19232,4197
Kentucky,Trigg County,2018,45.8,26893,14344,1492
Kentucky,Boone County,2018,37.3,34433,129095,9080
Kentucky,Jessamine County,2018,37.9,30215,52422,8912
Kentucky,Knox County,2018,40,17498,31467,10171
Kentucky,Letcher County,2018,42.2,18811,22676,7269
Kentucky,Livingston County,2018,45.7,27338,9263,1243
Kentucky,Pike County,2018,42.1,21646,60483,15702
Kentucky,Shelby County,2018,39.1,30932,46786,5745
Kentucky,Anderson County,2018,41,26339,22214,3048
Kentucky,Breckinridge County,2018,42.9,22521,20080,3450
Kentucky,Franklin County,2018,40.5,28801,50296,5959
Kentucky,McCreary County,2018,40,12903,17635,6027
Kentucky,Madison County,2018,34,24553,89700,15836
Kentucky,Metcalfe County,2018,43.4,19436,10004,2343
Kentucky,Owsley County,2018,42.5,17766,4463,1515
Kentucky,Simpson County,2018,39.5,23991,18063,2732
Kentucky,Clark County,2018,42.2,27416,35872,5513
Kentucky,Todd County,2018,37.6,23188,12350,2186
Kentucky,Carroll County,2018,38.1,23546,10711,2657
Kentucky,Clinton County,2018,41.7,20235,10211,2316
Kentucky,Gallatin County,2018,38.9,23043,8703,1281
Louisiana,Richland Parish,2018,38.5,20128,20474,5658
Alabama,Colbert County,2018,42.7,24918,54495,8785
Alabama,Dale County,2018,37.5,23837,49255,8798
Alabama,Hale County,2018,39.2,20272,14887,3809
Alabama,DeKalb County,2018,39.3,21004,71200,15500
Alabama,Escambia County,2018,39.7,18161,37328,8268
Alabama,Randolph County,2018,42.7,23247,22574,3912
Alabama,Mobile County,2018,37.6,25215,414659,78208
Alabama,Perry County,2018,37.7,13678,9486,3616
Alabama,Cleburne County,2018,42.5,21989,14938,2719
Alabama,Conecuh County,2018,44.8,17542,12514,2752
Alabama,Barbour County,2018,39.9,18461,25782,6597
Alabama,Bibb County,2018,39.9,20199,22527,2863
Alabama,Calhoun County,2018,39.7,24706,115098,20819
Alaska,Aleutians East Borough,2018,42.7,32510,3425,525
Alaska,Valdez-Cordova Census Area,2018,39,38507,9301,747
Alaska,Kenai Peninsula Borough,2018,40.8,33820,58220,6827
Alaska,Skagway Municipality,2018,38.5,39842,1061,56
Alaska,Prince of Wales-Hyder Census Area,2018,41,27236,6474,972
Georgia,Richmond County,2018,33.9,22045,201463,44956
Georgia,Screven County,2018,41.5,21557,13990,3043
Georgia,Tattnall County,2018,37.4,17553,25353,4276
Georgia,Berrien County,2018,39.7,18611,19025,4935
Georgia,Walker County,2018,41.4,23311,68824,11902
Georgia,Gwinnett County,2018,35.1,29474,902298,101831
Georgia,Barrow County,2018,35.4,23638,76887,9269
Georgia,Charlton County,2018,41.7,19341,12983,2866
Georgia,Clinch County,2018,37.7,16538,6743,2605
Georgia,Bartow County,2018,37.9,25712,103620,13490
Georgia,Douglas County,2018,36.4,26621,141840,18309
Georgia,Grady County,2018,39.7,22442,24926,5774
Georgia,Hancock County,2018,46.5,16713,8535,1426
Georgia,Whitfield County,2018,36,23271,103849,18229
Georgia,Macon County,2018,40.2,15924,13480,3129
Georgia,Troup County,2018,36.3,22348,69774,13932
Georgia,Harris County,2018,43.1,34511,33590,2261
Georgia,Schley County,2018,37.8,20585,5211,1111
Georgia,Worth County,2018,41.1,23517,20656,4253
Georgia,Dooly County,2018,43.7,20259,13905,3086
Georgia,Evans County,2018,37.7,20537,10727,2782
Georgia,Webster County,2018,45,21586,2613,660
Georgia,Effingham County,2018,36.1,29795,58689,4977
Georgia,Glascock County,2018,43.2,21076,3009,536
Georgia,Quitman County,2018,48.4,19371,2276,517
Georgia,Chatham County,2018,35.2,30664,287049,43183
Georgia,Johnson County,2018,41,20773,9730,2131
Georgia,Lanier County,2018,35.4,18800,10366,2377
Georgia,Madison County,2018,41.2,24292,28900,4990
Georgia,Mitchell County,2018,38.9,17514,22432,4811
Georgia,Tift County,2018,35.5,22072,40510,9516
Georgia,Polk County,2018,37.1,23233,41621,7367
Georgia,Talbot County,2018,49.2,20785,6378,1204
Georgia,Terrell County,2018,40.9,19330,8859,2713
Georgia,Thomas County,2018,40.3,25542,44730,9135
Georgia,Wilkinson County,2018,41.8,21403,9078,2241
Georgia,Oglethorpe County,2018,42.1,23027,14784,2216
Georgia,Randolph County,2018,40,19356,7087,2536
Georgia,Ware County,2018,38.4,20457,35599,7828
Georgia,Wayne County,2018,38.2,21067,29767,5372
Georgia,Wilcox County,2018,39.5,14829,8846,1484
Georgia,Baldwin County,2018,35.3,20305,45286,10838
Georgia,Bulloch County,2018,28.5,21207,74782,19079
Georgia,Clay County,2018,45.1,16199,3001,1211
Georgia,Echols County,2018,40.9,22883,3994,1070
Georgia,DeKalb County,2018,35.6,34100,743187,120880
Georgia,Haralson County,2018,40.8,24444,28956,4422
Georgia,Jefferson County,2018,39.3,18764,15772,3791
Georgia,Lincoln County,2018,47.3,26324,7799,1506
Georgia,Murray County,2018,38.2,20618,39557,6017
Georgia,Pulaski County,2018,43,19389,11295,2512
Georgia,Rabun County,2018,48.8,28312,16457,3121
Georgia,Towns County,2018,53.7,23940,11417,1672
Kansas,Finney County,2018,30.5,23637,36957,5370
Kansas,Hamilton County,2018,32.2,20723,2616,294
Kansas,Leavenworth County,2018,37.6,31639,80042,6643
Kansas,Washington County,2018,46.5,27718,5525,698
Kansas,Wichita County,2018,45,29762,2143,92
Kansas,Morton County,2018,43.1,23370,2838,204
Kansas,Norton County,2018,43.2,26953,5486,588
Kansas,Barton County,2018,40,27133,26791,4395
Kansas,Cloud County,2018,41,26515,9060,1045
Kansas,Edwards County,2018,44.7,27309,2925,240
Kansas,Lane County,2018,41.2,28366,1642,209
Kansas,Rush County,2018,47.6,25590,3102,298
Kansas,Marion County,2018,44.7,25756,12032,1047
Kansas,Neosho County,2018,40.1,23934,16125,2719
Kansas,Ottawa County,2018,42.6,27610,5902,604
Kansas,Riley County,2018,25.1,26883,75296,14169
Kansas,Barber County,2018,43.8,28984,4733,729
Kansas,Dickinson County,2018,41.5,26201,19004,2314
Kansas,Jefferson County,2018,44.2,29258,18888,1484
Kentucky,Greenup County,2018,43.4,26712,35765,5590
Kentucky,Fleming County,2018,40.9,23482,14479,2561
Kentucky,Carter County,2018,41,17782,27290,6861
Kentucky,Grant County,2018,36,22073,24915,4419
Kentucky,Jefferson County,2018,38.1,31980,767154,110907
Kentucky,Logan County,2018,40.8,23177,26849,4580
Kentucky,Mason County,2018,40.7,25658,17153,3024
Kentucky,Pendleton County,2018,41.1,22620,14520,2532
Kentucky,Robertson County,2018,44.1,23467,2143,564
Kentucky,Spencer County,2018,41.6,33568,18246,1523
Kentucky,Bath County,2018,40.4,21175,12268,2552
Kentucky,Ballard County,2018,43.3,25571,8090,1334
Kentucky,Boyle County,2018,40.3,24933,29913,3833
Kentucky,Green County,2018,44.6,24098,11023,1979
Kentucky,Harlan County,2018,41.2,15834,27134,9563
Michigan,Antrim County,2018,50.7,30920,23177,2748
Michigan,Houghton County,2018,32.7,22866,36360,7087
Michigan,Livingston County,2018,43.2,38399,188482,10489
Michigan,Iosco County,2018,52.6,25075,25247,4064
Michigan,Lake County,2018,52.7,19012,11763,2718
Michigan,Manistee County,2018,49.2,25778,24444,2973
Michigan,Montmorency County,2018,55.7,23930,9261,1511
Michigan,Presque Isle County,2018,54.7,26503,12797,1847
Michigan,Gladwin County,2018,49.8,24594,25289,4547
Michigan,Kalamazoo County,2018,34.2,30555,261573,40825
Michigan,Mecosta County,2018,36.5,23182,43264,8582
Michigan,Marquette County,2018,39,26290,66939,10259
Michigan,Newaygo County,2018,42.5,24005,48142,8425
Michigan,Osceola County,2018,43.8,22142,23232,4488
Michigan,Otsego County,2018,44.7,26829,24397,3603
Michigan,Calhoun County,2018,39.8,25652,134473,22073
Michigan,Cheboygan County,2018,50.7,25876,25458,3730
Michigan,Luce County,2018,44.7,20745,6364,881
Michigan,Kent County,2018,35.1,31005,643140,79362
Michigan,Saginaw County,2018,40.8,26625,192778,32975
Michigan,Shiawassee County,2018,42.4,27398,68493,7687
Michigan,Bay County,2018,43.3,26644,104786,16577
Michigan,Charlevoix County,2018,48.1,32559,26219,2776
Michigan,Delta County,2018,47,26852,36190,4728
Alabama,Clarke County,2018,42.3,21111,24387,6088
Alabama,Fayette County,2018,43.8,21862,16585,3258
Minnesota,Douglas County,2018,44.1,34547,37203,3041
Minnesota,Grant County,2018,45.2,31940,5938,610
Minnesota,Kittson County,2018,47.3,29946,4337,443
Minnesota,Le Sueur County,2018,41.2,32120,27983,2431
Minnesota,Mahnomen County,2018,35.9,20953,5506,1122
Minnesota,Chisago County,2018,41,33927,54727,2979
Minnesota,Redwood County,2018,43.1,28011,15331,1709
Minnesota,Yellow Medicine County,2018,42.3,29379,9868,1297
Minnesota,Todd County,2018,44,25848,24440,3214
Minnesota,Beltrami County,2018,33.7,24781,46117,8054
Minnesota,Blue Earth County,2018,30.7,28824,66322,11382
Minnesota,Houston County,2018,45.2,31453,18663,1404
Minnesota,Lac qui Parle County,2018,50.4,31686,6773,566
Minnesota,Lake of the Woods County,2018,51.3,26526,3809,347
Minnesota,Otter Tail County,2018,46.7,30846,57992,5250
Minnesota,Waseca County,2018,40.2,28067,18809,1627
Minnesota,St. Louis County,2018,41.1,30321,200080,28922
Minnesota,Anoka County,2018,38.4,35806,347431,20963
Minnesota,Stearns County,2018,34.3,29815,156819,19532
Minnesota,Dakota County,2018,37.8,40441,418201,26494
Minnesota,Lyon County,2018,35.5,30531,25839,3348
Minnesota,Mille Lacs County,2018,40.4,26679,25728,3042
Minnesota,Renville County,2018,44.3,31585,14721,1493
Minnesota,Carlton County,2018,40.7,28117,35540,4118
Minnesota,Cook County,2018,52.3,32703,5311,683
Pennsylvania,Somerset County,2018,45.9,25294,74949,8681
Missouri,Madison County,2018,42.1,22119,12205,1854
Missouri,Vernon County,2018,40.9,24388,20691,2719
Missouri,Nodaway County,2018,29.2,22151,22547,4543
Missouri,Chariton County,2018,45.5,24470,7546,871
Missouri,Wayne County,2018,47.3,18759,13308,3145
Missouri,Scott County,2018,39.9,23185,38729,7844
Missouri,Barton County,2018,41.4,25938,11850,2526
Missouri,Cedar County,2018,44.3,22434,13938,2537
Missouri,Gasconade County,2018,45.8,27240,14746,1423
Missouri,Macon County,2018,43.3,21118,15254,2247
Missouri,Oregon County,2018,46.8,18103,10699,2493
Missouri,Ste. Genevieve County,2018,43.4,28578,17871,2571
Missouri,Douglas County,2018,47.6,19164,13374,2824
Missouri,Henry County,2018,44.2,25244,21765,4609
Missouri,Lawrence County,2018,39.6,22341,38133,6303
Missouri,Pulaski County,2018,27.7,22018,52591,6236
Missouri,Texas County,2018,42.7,19485,25671,5874
Missouri,Callaway County,2018,38.6,25069,44840,4737
South Carolina,Marion County,2018,40.4,19992,31562,7534
South Carolina,Lexington County,2018,39,30316,286316,35768
South Carolina,Oconee County,2018,45.3,28076,76696,13928
South Carolina,Berkeley County,2018,36,28331,209065,24936
South Carolina,Charleston County,2018,37.6,37801,394708,56323
South Carolina,Georgetown County,2018,49.2,29929,61605,11160
South Carolina,Marlboro County,2018,40.3,17034,27131,6264
South Carolina,Anderson County,2018,40.7,25807,195995,29419
South Carolina,Chesterfield County,2018,42.3,20676,46024,10232
South Carolina,Greenwood County,2018,39.4,23945,70264,15285
South Carolina,Horry County,2018,45.2,26917,320915,51669
Georgia,Treutlen County,2018,39.7,23907,6777,1359
Georgia,Irwin County,2018,39.9,18406,9268,2413
Georgia,Appling County,2018,39,20421,18454,4191
Oregon,Clatsop County,2018,43.9,28750,38562,3977
Tennessee,Sumner County,2018,39.6,32297,179473,16833
Tennessee,Trousdale County,2018,36,23634,9573,1458
Tennessee,Clay County,2018,48.8,19512,7686,2026
Iowa,Tama County,2018,42.8,27255,17136,2003
Iowa,Wapello County,2018,39.3,24864,35315,5354
Iowa,Franklin County,2018,42.4,27480,10245,1289
Iowa,Carroll County,2018,41.7,30658,20344,1759
Iowa,Cedar County,2018,42,32010,18445,1168
Iowa,Floyd County,2018,43.9,27897,15858,2455
Iowa,Greene County,2018,44.5,28413,9003,788
Iowa,Louisa County,2018,41.2,27041,11223,1231
Iowa,Lyon County,2018,38.1,29246,11769,567
Iowa,Winnebago County,2018,42.6,27117,10571,833
Iowa,Shelby County,2018,46.1,31283,11694,996
Iowa,Appanoose County,2018,45.4,27546,12510,1981
Iowa,Iowa County,2018,42.1,32663,16207,1297
Iowa,Page County,2018,44,26767,15363,1667
Iowa,Winneshiek County,2018,41.3,30706,20401,1553
Iowa,Pottawattamie County,2018,39.5,29729,93503,10058
Iowa,Marshall County,2018,39.1,26516,40271,4236
Iowa,Boone County,2018,41.8,31686,26399,2078
Iowa,Buena Vista County,2018,35.2,26607,20260,2507
Iowa,Howard County,2018,42.2,28828,9264,1078
Iowa,Guthrie County,2018,45.6,28953,10674,1175
Iowa,Humboldt County,2018,43,29882,9566,1103
Iowa,Madison County,2018,40.1,33069,15890,1046
Virginia,Stafford County,2018,35.3,40850,144012,6306
Puerto Rico,Gurabo Municipio,2018,38.6,17393,46894,13676
Puerto Rico,Loíza Municipio,2018,38.9,8809,26463,13416
Puerto Rico,Aguadilla Municipio,2018,41.5,11339,54166,27075
Puerto Rico,Las Marías Municipio,2018,41.1,7098,8599,4864
Puerto Rico,Villalba Municipio,2018,38.8,10677,22993,10995
Puerto Rico,Carolina Municipio,2018,42,16536,157453,46149
Puerto Rico,Humacao Municipio,2018,42.1,12093,53466,23600
Puerto Rico,Morovis Municipio,2018,37.9,9715,31320,14209
Puerto Rico,Trujillo Alto Municipio,2018,39.8,15886,67780,20939
Puerto Rico,Peñuelas Municipio,2018,37.3,8609,20984,11831
Puerto Rico,Toa Alta Municipio,2018,37.7,14241,73405,21250
Alaska,Haines Borough,2018,44.9,33521,2518,224
Alaska,Juneau City and Borough,2018,38.1,43276,32330,2514
Alaska,Yukon-Koyukuk Census Area,2018,35.3,22386,5415,1350
Alaska,Denali Borough,2018,43.1,34956,2232,369
Alaska,Hoonah-Angoon Census Area,2018,50.2,35355,2132,207
Alaska,Wrangell City and Borough,2018,49.5,31489,2484,192
Arizona,Pima County,2018,38.3,28480,1019722,176222
Arizona,Gila County,2018,49.7,22939,53400,11807
Arizona,Cochise County,2018,40.6,25436,126279,20192
Arizona,Apache County,2018,34.7,14499,71522,24761
Arizona,Yuma County,2018,34.3,21178,207829,40591
Arizona,Navajo County,2018,36.4,18333,108705,30163
Arkansas,Clay County,2018,43,20353,15061,3352
Arkansas,Drew County,2018,37,23005,18502,3735
Arkansas,Randolph County,2018,41.5,21338,17603,3127
Arkansas,Boone County,2018,42.4,23998,37288,5455
Michigan,Emmet County,2018,45.3,32455,33039,3108
Minnesota,Koochiching County,2018,49.2,29051,12644,2029
Minnesota,Morrison County,2018,42.1,28792,32949,3561
Minnesota,Pennington County,2018,39.8,30625,14184,1370
Minnesota,Steele County,2018,38.9,30822,36676,3646
Minnesota,Wilkin County,2018,44.4,32066,6343,576
Minnesota,Aitkin County,2018,55.1,27646,15834,2021
Minnesota,Faribault County,2018,46.1,29748,13896,1569
Minnesota,Murray County,2018,48.1,31768,8353,607
Minnesota,Kandiyohi County,2018,39.1,30217,42658,4413
Minnesota,Lake County,2018,50.4,33602,10569,881
Minnesota,Rock County,2018,40.9,30544,9413,894
Minnesota,Roseau County,2018,41.4,28049,15462,1481
Minnesota,Traverse County,2018,48.4,30553,3337,356
Minnesota,Becker County,2018,41.8,29710,33773,4090
Minnesota,Hennepin County,2018,36.4,43976,1235478,133772
Minnesota,Brown County,2018,42.1,30373,25211,1878
Minnesota,Chippewa County,2018,41.6,30168,12010,1170
Minnesota,Clearwater County,2018,42.7,26173,8812,1461
Minnesota,Goodhue County,2018,42.5,33400,46217,4483
Minnesota,Isanti County,2018,39.8,32008,38974,2745
Minnesota,Jackson County,2018,44.3,33358,10047,768
Minnesota,Mower County,2018,39.1,29116,39602,4987
Minnesota,Pine County,2018,44.5,25302,29129,3433
Minnesota,Olmsted County,2018,37.2,39667,153065,13490
Minnesota,Wadena County,2018,41.5,24864,13646,2023
Minnesota,Benton County,2018,35.6,28566,39779,4927
Minnesota,Freeborn County,2018,44.2,28459,30526,3667
North Carolina,Cabarrus County,2018,37.9,31050,201448,21822
North Carolina,Caswell County,2018,45.6,22982,22746,4273
North Carolina,Davie County,2018,45,29613,41991,5710
North Carolina,Davidson County,2018,42.3,25109,164664,25064
North Carolina,Duplin County,2018,40.6,19455,59062,14056
North Carolina,Durham County,2018,35.2,34063,306457,46805
North Carolina,Hertford County,2018,42.1,18918,24153,5125
North Carolina,Lee County,2018,38.2,23842,60125,9538
North Carolina,New Hanover County,2018,38.7,32629,224231,37602
North Carolina,Pender County,2018,42.9,27724,59020,8709
North Carolina,Wayne County,2018,37.6,24124,124002,25847
North Carolina,Scotland County,2018,39.4,18242,35262,9030
North Carolina,Watauga County,2018,31.2,24906,54117,13155
North Carolina,Halifax County,2018,43.1,21016,51737,12684
North Carolina,Alamance County,2018,39.5,26215,160576,26264
North Carolina,Tyrrell County,2018,49.2,18682,4119,863
North Dakota,Stark County,2018,33.9,37897,30876,2659
North Dakota,Wells County,2018,52.1,34602,4055,264
North Dakota,Burke County,2018,34.6,35806,2213,145
North Dakota,Mountrail County,2018,33.5,37602,10152,1016
North Dakota,Williams County,2018,31.5,43824,34061,2283
North Dakota,Billings County,2018,40.6,45523,946,81
North Dakota,Kidder County,2018,45.2,32364,2460,246
North Dakota,Cavalier County,2018,49.9,43125,3824,373
North Dakota,Grant County,2018,51.9,36287,2380,274
North Dakota,McHenry County,2018,42.8,37626,5927,504
North Dakota,Steele County,2018,50.5,39403,1910,114
North Dakota,Benson County,2018,30.5,21407,6886,2376
South Carolina,Kershaw County,2018,41.7,24253,64361,10488
South Carolina,Orangeburg County,2018,39.6,19992,88454,20697
South Carolina,Spartanburg County,2018,38.2,26072,302195,43422
South Carolina,Bamberg County,2018,41.9,18873,14600,3536
South Carolina,Beaufort County,2018,44.8,36306,182658,19724
South Carolina,Calhoun County,2018,46,25953,14713,2662
South Carolina,Dillon County,2018,37.5,16473,30871,10288
South Carolina,Saluda County,2018,41.9,22174,20299,3231
South Carolina,Richland County,2018,33.2,29010,408263,61617
South Carolina,Fairfield County,2018,46.4,22527,22712,5146
South Carolina,Hampton County,2018,39.7,17523,19807,3436
South Carolina,Greenville County,2018,38.1,30776,498402,60123
South Carolina,Lancaster County,2018,42,29271,89546,12722
South Carolina,Dorchester County,2018,36.5,28704,155474,18746
South Carolina,Florence County,2018,39,25149,138561,25750
South Carolina,Laurens County,2018,41.1,21743,66710,12813
South Carolina,McCormick County,2018,53.9,24419,9606,1598
South Carolina,Pickens County,2018,36.2,24803,122746,20294
South Carolina,Union County,2018,43.8,22372,27644,5887
South Carolina,Williamsburg County,2018,42.1,18454,31794,7564
South Dakota,Aurora County,2018,38.3,31468,2759,192
South Dakota,Grant County,2018,43.5,31453,7217,558
South Dakota,Tripp County,2018,46.4,26242,5468,1062
South Dakota,Ziebach County,2018,31.6,14943,2814,1146
South Dakota,Spink County,2018,43.3,33597,6543,606
South Dakota,Bon Homme County,2018,42.8,23525,6969,594
South Dakota,Brookings County,2018,26.7,27968,34239,4735
South Dakota,Fall River County,2018,51.3,27266,6774,896
South Dakota,Hamlin County,2018,35.2,27777,6000,337
South Dakota,Jackson County,2018,30.6,13595,3287,1523
South Dakota,Custer County,2018,54.3,30439,8573,1080
South Dakota,Hyde County,2018,51,31692,1331,186
South Dakota,Faulk County,2018,48.1,29065,2322,289
South Dakota,Hutchinson County,2018,43.8,27995,7315,742
South Dakota,Walworth County,2018,43,31302,5510,537
South Dakota,Buffalo County,2018,25.8,11471,2053,796
South Dakota,Day County,2018,48,28873,5506,1024
South Dakota,Douglas County,2018,47.3,29458,2930,210
South Dakota,Harding County,2018,42.7,31599,1311,109
South Dakota,McPherson County,2018,50,27240,2364,348
South Dakota,Roberts County,2018,38.5,26537,10285,1893
South Dakota,Sully County,2018,45.5,42276,1331,58
South Dakota,Lincoln County,2018,34.6,39797,54914,2015
South Dakota,Lake County,2018,43.2,31574,12574,1468
South Dakota,Lawrence County,2018,41.9,31744,25234,2872
Alabama,Chambers County,2018,43,22827,33826,5531
Minnesota,Lincoln County,2018,45.8,28504,5707,573
Minnesota,Marshall County,2018,43.8,29670,9392,702
Minnesota,Washington County,2018,39.3,43789,253317,11666
Minnesota,Kanabec County,2018,44.8,27331,16004,1690
California,Yuba County,2018,32.5,23867,75493,13298
California,Lassen County,2018,36,21897,31185,2933
California,Sonoma County,2018,41.7,39929,501317,50714
California,Imperial County,2018,32.4,17590,180216,41191
California,Alameda County,2018,37.4,44283,1643700,170884
California,Napa County,2018,41.1,42677,140530,11168
Arkansas,Lincoln County,2018,38.6,13636,13695,1650
Arkansas,Crittenden County,2018,35.1,21882,49013,10709
Arkansas,Faulkner County,2018,32.5,26163,122416,19697
Arkansas,Marion County,2018,51.7,19710,16438,3355
Arkansas,Searcy County,2018,47.6,20709,7923,1639
Arkansas,Benton County,2018,35.3,32624,258980,25356
Arkansas,Hot Spring County,2018,41.3,21064,33520,5518
Arkansas,Madison County,2018,42.6,23875,16076,2680
Maryland,Harford County,2018,40.8,39365,251025,18805
Maryland,Allegany County,2018,41.7,23280,71977,10558
Pennsylvania,Franklin County,2018,41.4,29748,153751,15640
Pennsylvania,Union County,2018,39.4,25606,45114,4059
Pennsylvania,Wayne County,2018,48.1,26570,51536,5552
Pennsylvania,Bedford County,2018,46.2,25163,48611,6116
Pennsylvania,Monroe County,2018,42.8,28486,167586,19004
Pennsylvania,Huntingdon County,2018,43.5,24159,45421,5335
Pennsylvania,Washington County,2018,44.5,34244,207547,18777
Pennsylvania,Philadelphia County,2018,34.3,26557,1575522,380873
Pennsylvania,York County,2018,41,31468,444014,43381
Pennsylvania,Indiana County,2018,39.8,25276,85755,13430
Pennsylvania,Cumberland County,2018,40.5,36012,247433,17327
Pennsylvania,Allegheny County,2018,40.8,36907,1225561,144842
Pennsylvania,Westmoreland County,2018,46.8,32916,354751,34762
Pennsylvania,Forest County,2018,40.4,15360,7351,467
Pennsylvania,Blair County,2018,43.4,26648,123842,17645
Pennsylvania,Lawrence County,2018,45.1,27734,87382,12017
Pennsylvania,Bradford County,2018,44.5,27319,61304,7257
Pennsylvania,Cambria County,2018,45.1,25779,134550,19582
Pennsylvania,Chester County,2018,40.4,48225,517156,34217
Pennsylvania,Berks County,2018,39.9,30187,416642,51733
Pennsylvania,Mifflin County,2018,43.8,24407,46362,6574
Texas,Grayson County,2018,39.9,27276,128560,17383
Texas,Live Oak County,2018,42.2,24244,12123,1735
Texas,Palo Pinto County,2018,40.5,24983,28317,4945
Texas,Karnes County,2018,34.7,26875,15387,2348
Texas,DeWitt County,2018,40.9,28728,20435,2971
Texas,Callahan County,2018,42.9,24537,13770,1927
Texas,Cass County,2018,43.4,22545,30087,5808
Texas,Gregg County,2018,35.4,25839,123494,21029
Texas,Madison County,2018,34.7,17856,14128,1463
Texas,Lubbock County,2018,30.7,27089,301454,54723
Texas,Kaufman County,2018,35.6,27411,118910,15272
Texas,Kendall County,2018,42.1,43241,41982,2178
Texas,Floyd County,2018,36.9,23308,5872,1114
Texas,Bailey County,2018,33.5,21449,7092,987
Texas,Chambers County,2018,35.4,34372,40292,5072
Texas,Bell County,2018,30.8,25911,342236,45934
Texas,Cameron County,2018,31.5,16587,421750,127760
Texas,Deaf Smith County,2018,32,21515,18899,3248
Texas,El Paso County,2018,32,20763,837654,175171
Texas,La Salle County,2018,33.8,25129,7409,786
Texas,Terrell County,2018,51.9,23852,862,129
Texas,Tyler County,2018,42.7,20439,21496,2798
Texas,Wheeler County,2018,39,26844,5482,972
Texas,Archer County,2018,44.5,31806,8789,806
Texas,Brewster County,2018,43.3,27227,9216,1117
Texas,Hidalgo County,2018,29.1,16490,849389,261968
Texas,Smith County,2018,36.6,27141,225015,36119
North Dakota,LaMoure County,2018,48.4,36584,4100,466
North Dakota,Morton County,2018,37.7,39300,30544,2426
North Dakota,Dunn County,2018,38.8,44492,4387,381
North Dakota,McIntosh County,2018,53.5,32389,2654,206
North Dakota,Nelson County,2018,52.9,33360,2920,299
North Dakota,Rolette County,2018,30.8,19295,14603,4204
North Dakota,Walsh County,2018,44.4,31366,10802,1012
North Dakota,Bottineau County,2018,45.1,35039,6589,634
North Dakota,Barnes County,2018,44.9,33868,10836,1080
North Dakota,Grand Forks County,2018,29.5,31052,70400,11369
North Dakota,McKenzie County,2018,30.7,36798,12536,1681
North Dakota,McLean County,2018,46.1,35367,9608,772
North Dakota,Pierce County,2018,45.8,28008,4210,692
North Dakota,Renville County,2018,41,33635,2495,114
North Dakota,Bowman County,2018,41.4,36221,3195,242
North Dakota,Burleigh County,2018,36.9,37764,93737,7534
North Dakota,Logan County,2018,52.6,33396,1927,139
North Dakota,Oliver County,2018,50,33849,1837,165
North Dakota,Stutsman County,2018,40.2,32001,21064,2301
North Dakota,Ramsey County,2018,41.6,35059,11557,1290
North Dakota,Foster County,2018,45.6,33737,3290,231
North Dakota,Griggs County,2018,50.2,35069,2266,175
North Dakota,Sheridan County,2018,51.5,32559,1405,195
North Dakota,Slope County,2018,50.8,37340,704,39
Ohio,Union County,2018,38.4,34691,55654,3610
Ohio,Pike County,2018,40.8,22301,28214,5395
Ohio,Paulding County,2018,42,25918,18872,1919
Ohio,Hamilton County,2018,36.8,34125,812037,128930
Ohio,Franklin County,2018,34,32552,1275333,203044
Illinois,Massac County,2018,43.8,23768,14430,2550
Illinois,Cass County,2018,39.7,26245,12665,1689
Indiana,Huntington County,2018,40.7,25386,36378,3556
Indiana,White County,2018,41.9,27621,24217,2069
Indiana,Jay County,2018,40,22470,20993,3482
Indiana,Shelby County,2018,41,28491,44399,4884
Indiana,Sullivan County,2018,41,22976,20792,2438
Indiana,Tippecanoe County,2018,28,26262,189294,35639
Indiana,Hamilton County,2018,36.9,46597,316095,14866
Indiana,Bartholomew County,2018,37.7,30515,81893,10508
Indiana,Fulton County,2018,41.3,25106,20212,2778
Indiana,Noble County,2018,38.7,26063,47451,3461
Indiana,Clark County,2018,38.9,28525,115702,11328
Indiana,Hendricks County,2018,37.7,34689,160940,8339
Indiana,Grant County,2018,40.3,21739,66944,11824
Indiana,Jackson County,2018,38.7,24522,43938,6890
Indiana,Owen County,2018,44.9,24129,20878,3322
Indiana,Whitley County,2018,40.8,30144,33649,3046
Indiana,Clinton County,2018,38.2,24276,32301,3930
Indiana,Union County,2018,43.8,24040,7153,617
Indiana,Dearborn County,2018,42.7,29891,49501,4973
Indiana,Lawrence County,2018,42.8,25590,45619,5288
Indiana,Perry County,2018,42.2,24540,19141,2434
Indiana,Posey County,2018,42.3,30572,25589,2546
Indiana,Carroll County,2018,42.8,28430,19994,2012
Indiana,Fountain County,2018,43.1,26721,16486,1912
Indiana,Starke County,2018,41.6,23282,22941,3232
Indiana,Greene County,2018,42.9,24309,32295,4466
Iowa,Benton County,2018,42.6,32764,25626,2306
California,Sierra County,2018,55.5,31972,2930,241
California,Yolo County,2018,31,32598,214977,40583
California,Nevada County,2018,50.1,37145,99092,11169
California,Mendocino County,2018,42.8,27395,87422,15877
California,Los Angeles County,2018,36.2,32469,10098052,1589956
California,Santa Clara County,2018,37,52451,1922200,149850
California,Siskiyou County,2018,48,28130,43540,8374
California,Del Norte County,2018,38.6,22832,27424,5458
Colorado,Chaffee County,2018,49.1,29365,19164,1807
Colorado,Garfield County,2018,36.3,32491,58538,4662
Colorado,Jefferson County,2018,40.4,41930,570427,41438
Colorado,Rio Blanco County,2018,35.9,27057,6465,701
