county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng
Covington,Covington,Covington County,1039,AL,Alabama,31.2485,-86.4513
Talbot,Talbot,Talbot County,24041,MD,Maryland,38.7709,-76.0968
Alcorn,Alcorn,Alcorn County,28003,MS,Mississippi,34.8808,-88.5803
Jasper,Jasper,Jasper County,19099,IA,Iowa,41.686,-93.0537
Addison,Addison,Addison County,50001,VT,Vermont,44.0308,-73.1409
Knox,Knox,Knox County,18083,IN,Indiana,38.6891,-87.418
Matagorda,Matagorda,Matagorda County,48321,TX,Texas,28.8212,-96.011
Green,Green,Green County,55045,WI,Wisconsin,42.68,-89.6022
Escambia,Escambia,Escambia County,1053,AL,Alabama,31.1262,-87.1615
Williams,Williams,Williams County,39171,OH,Ohio,41.5603,-84.5882
Steele,Steele,Steele County,27147,MN,Minnesota,44.0223,-93.226
Hopkins,Hopkins,Hopkins County,48223,TX,Texas,33.1496,-95.564
Dare,Dare,Dare County,37055,NC,North Carolina,35.7805,-75.7982
Louisa,Louisa,Louisa County,51109,VA,Virginia,37.9786,-77.963
Dodge,Dodge,Dodge County,31053,NE,Nebraska,41.5779,-96.654
Coshocton,Coshocton,Coshocton County,39031,OH,Ohio,40.3017,-81.92
Orange,Orange,Orange County,51137,VA,Virginia,38.2462,-78.0137
Greene,Greene,Greene County,42059,PA,Pennsylvania,39.8538,-80.2229
Finney,Finney,Finney County,20055,KS,Kansas,38.0443,-100.737
Huntington,Huntington,Huntington County,18069,IN,Indiana,40.8292,-85.4881
Webster,Webster,Webster County,19187,IA,Iowa,42.4279,-94.1818
Whitley,Whitley,Whitley County,21235,KY,Kentucky,36.7581,-84.1452
Howard,Howard,Howard County,48227,TX,Texas,32.3062,-101.4355
Clark,Clark,Clark County,21049,KY,Kentucky,37.9708,-84.1474
Hill,Hill,Hill County,48217,TX,Texas,31.9907,-97.1324
Perry,Perry,Perry County,39127,OH,Ohio,39.7371,-82.2361
Williams,Williams,Williams County,38105,ND,North Dakota,48.3437,-103.4802
Floyd,Floyd,Floyd County,21071,KY,Kentucky,37.5571,-82.7457
Houghton,Houghton,Houghton County,26061,MI,Michigan,46.8978,-88.6875
Scotts Bluff,Scotts Bluff,Scotts Bluff County,31157,NE,Nebraska,41.8505,-103.708
Delta,Delta,Delta County,26041,MI,Michigan,45.9192,-86.9241
Cocke,Cocke,Cocke County,47029,TN,Tennessee,35.9254,-83.1212
McLeod,McLeod,McLeod County,27085,MN,Minnesota,44.8236,-94.2724
Livingston,Livingston,Livingston County,17105,IL,Illinois,40.8916,-88.5577
Ware,Ware,Ware County,13299,GA,Georgia,31.0537,-82.4237
Uintah,Uintah,Uintah County,49047,UT,Utah,40.1248,-109.5186
Sagadahoc,Sagadahoc,Sagadahoc County,23023,ME,Maine,43.9598,-69.8546
Carlton,Carlton,Carlton County,27017,MN,Minnesota,46.5924,-92.677
Miami,Miami,Miami County,18103,IN,Indiana,40.7695,-86.045
Laclede,Laclede,Laclede County,29105,MO,Missouri,37.6583,-92.5903
Bennington,Bennington,Bennington County,50003,VT,Vermont,43.0354,-73.093
Barry,Barry,Barry County,29009,MO,Missouri,36.7099,-93.8291
Jasper,Jasper,Jasper County,48241,TX,Texas,30.744,-94.0251
Monroe,Monroe,Monroe County,28095,MS,Mississippi,33.8923,-88.4805
Adams,Adams,Adams County,18001,IN,Indiana,40.7456,-84.9366
Marshall,Marshall,Marshall County,28093,MS,Mississippi,34.7623,-89.5031
Oneida,Oneida,Oneida County,55085,WI,Wisconsin,45.7056,-89.5218
Greenup,Greenup,Greenup County,21089,KY,Kentucky,38.5457,-82.9223
Washington,Washington,Washington County,48477,TX,Texas,30.2145,-96.4034
Macon,Macon,Macon County,37113,NC,North Carolina,35.1505,-83.4222
Morrow,Morrow,Morrow County,39117,OH,Ohio,40.5241,-82.7941
