county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng
Walker,Walker,Walker County,1127,AL,Alabama,33.8033,-87.2974
Montcalm,Montcalm,Montcalm County,26117,MI,Michigan,43.3109,-85.1525
Sampson,Sampson,Sampson County,37163,NC,North Carolina,34.9916,-78.3714
Livingston,Livingston,Livingston County,36051,NY,New York,42.7281,-77.7755
Crawford,Crawford,Crawford County,5033,AR,Arkansas,35.588,-94.2429
Salem,Salem,Salem County,34033,NJ,New Jersey,39.5876,-75.3491
Lamar,Lamar,Lamar County,28073,MS,Mississippi,31.206,-89.5087
Warrick,Warrick,Warrick County,18173,IN,Indiana,38.0922,-87.2721
Reno,Reno,Reno County,20155,KS,Kansas,37.9529,-98.086
Acadia,Acadia,Acadia Parish,22001,LA,Louisiana,30.2906,-92.412
Effingham,Effingham,Effingham County,13103,GA,Georgia,32.3673,-81.3414
